Action_Label,open_fist_C
Fs_Hz,250
Total_Samples,1250

Sample_Index,Raw_EMG,Envelope
0,513.0,515.0333333333333
1,511.0,514.9
2,514.0,514.8666666666667
3,509.0,514.6
4,504.0,514.8333333333334
5,508.0,514.8666666666667
6,517.0,515.0
7,515.0,515.0
8,512.0,514.9333333333333
9,513.0,514.9
10,511.0,514.8666666666667
11,507.0,514.9333333333333
12,510.0,514.8333333333334
13,515.0,514.8666666666667
14,515.0,514.9666666666667
15,510.0,515.0
16,514.0,515.0
17,510.0,515.0666666666667
18,512.0,514.9666666666667
19,513.0,514.6
20,512.0,514.5
21,513.0,514.4666666666667
22,514.0,514.3666666666667
23,506.0,514.4333333333333
24,505.0,514.5666666666667
25,510.0,514.6333333333333
26,512.0,514.6333333333333
27,512.0,514.5666666666667
28,508.0,514.5
29,509.0,514.4666666666667
30,510.0,514.5
31,508.0,514.6
32,509.0,514.6333333333333
33,508.0,514.6666666666666
34,506.0,514.6
35,511.0,514.5
36,513.0,514.3666666666667
37,512.0,514.2666666666667
38,514.0,514.3333333333334
39,511.0,514.3333333333334
40,510.0,514.3666666666667
41,511.0,514.2333333333333
42,505.0,514.4
43,504.0,514.5666666666667
44,508.0,514.6
45,507.0,514.7
46,508.0,514.7666666666667
47,511.0,514.7333333333333
48,511.0,514.7666666666667
49,510.0,514.8
50,506.0,515.0
51,506.0,515.1666666666666
52,510.0,515.1666666666666
53,510.0,515.0333333333333
54,511.0,514.8333333333334
55,511.0,514.8
56,513.0,514.8333333333334
57,511.0,514.8666666666667
58,508.0,514.8666666666667
59,506.0,514.9666666666667
60,508.0,515.0333333333333
61,508.0,515.0333333333333
62,506.0,515.1333333333333
63,505.0,515.2333333333333
64,503.0,515.3333333333334
65,507.0,515.4666666666667
66,509.0,515.5333333333333
67,508.0,515.6666666666666
68,509.0,515.7
69,513.0,515.7
70,512.0,515.6333333333333
71,510.0,515.6666666666666
72,508.0,515.5666666666667
73,515.0,515.4
74,514.0,515.3333333333334
75,514.0,515.2333333333333
76,512.0,515.1
77,507.0,515.2333333333333
78,511.0,515.2333333333333
79,513.0,515.2
80,509.0,515.1
81,513.0,514.9333333333333
82,509.0,514.9666666666667
83,508.0,515.0333333333333
84,509.0,515.1
85,510.0,515.1333333333333
86,506.0,515.3
87,513.0,515.3
88,514.0,515.2333333333333
89,510.0,515.1
90,508.0,515.1
91,507.0,515.1333333333333
92,505.0,515.1666666666666
93,517.0,515.1
94,515.0,514.9
95,515.0,514.8333333333334
96,512.0,514.7333333333333
97,513.0,514.6333333333333
98,513.0,514.5666666666667
99,509.0,514.6333333333333
100,511.0,514.6666666666666
101,508.0,514.7333333333333
102,507.0,514.7666666666667
103,513.0,514.7
104,515.0,514.7333333333333
105,516.0,514.8
106,513.0,514.8333333333334
107,507.0,514.8333333333334
108,511.0,514.8333333333334
109,510.0,514.8666666666667
110,511.0,514.8
111,516.0,514.9
112,515.0,514.9
113,510.0,514.8333333333334
114,508.0,514.8666666666667
115,502.0,515.1333333333333
116,510.0,515.0
117,514.0,515.0333333333333
118,515.0,515.0666666666667
119,509.0,515.1
120,512.0,514.9666666666667
121,513.0,514.8333333333334
122,515.0,514.7
123,511.0,514.5666666666667
124,505.0,514.7
125,513.0,514.6333333333333
126,510.0,514.7
127,516.0,514.8
128,513.0,514.8
129,514.0,514.7666666666667
